ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	[Q1]Value	[Q02]Value	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	AOI[black puppy]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														20	15:29:39.045	4331585898234																		Unclassified	4							1	1055	836	1040	792	1047	814			289.70	66.98	285.41	79.33	287.55	73.15	233.64	327.52	589.77	301.96	321.36	587.36					666.00	666.00	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														28	15:29:39.053	4331585906533																		Unclassified	17							2	1056	834	1028	801	1042	817			289.81	67.67	282.07	76.81	285.94	72.24	233.60	327.53	589.78	301.92	321.36	587.38					666.02	666.02	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														36	15:29:39.061	4331585914877																		Unclassified	17							3	1067	810	1046	837	1056	823			292.84	74.14	286.99	66.84	289.91	70.49	233.62	327.53	589.83	301.96	321.38	587.42					666.06	666.06	2.54	2.82	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														45	15:29:39.070	4331585923207																	1	Saccade	17							4	1029	785	1046	837	1037	811			282.49	81.10	287.09	66.83	284.79	73.97	233.62	327.49	589.81	301.96	321.33	587.41					666.02	666.02	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														53	15:29:39.078	4331585931520																	1	Saccade	17							5	1012	788	1053	824	1032	806			277.68	80.40	289.12	70.29	283.40	75.35	233.60	327.47	589.86	301.94	321.29	587.48					666.06	666.06	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														61	15:29:39.086	4331585939862																		Unclassified	8							6	1001	822	1042	835	1021	828			274.87	70.97	286.04	67.30	280.46	69.14	233.68	327.51	589.92	302.05	321.33	587.52					666.12	666.12	2.85	2.99	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														70	15:29:39.095	4331585948200																	2	Saccade	25							7	1057	824	1040	808	1048	816			290.13	70.32	285.46	74.83	287.80	72.57	233.82	327.52	589.91	302.12	321.35	587.48					666.11	666.11	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														78	15:29:39.103	4331585956562																	2	Saccade	25							8	1155	758	1082	792	1118	775			316.96	88.44	297.03	79.15	306.99	83.80	233.81	327.60	589.92	302.08	321.42	587.51					666.16	666.16	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														86	15:29:39.111	4331585964866																	2	Saccade	25							9	1155	758	1103	753	1129	755			316.97	88.45	302.88	89.96	309.93	89.21	233.82	327.67	589.95	302.11	321.50	587.51					666.23	666.23	2.79	2.86	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														95	15:29:39.120	4331585973202																1		Fixation	150							10	1157	746	1107	758	1132	752			317.61	91.94	303.78	88.61	310.70	90.28	233.83	327.71	589.92	302.12	321.50	587.46					666.21	666.21	-1.00	-1.00	0	0				
